scale,instance_idx,pref_id,w1,w2,satellite_id,task_id,start,end,duration,priority,is_emergency,original_scheduled
s8_n400,9,3,0.25,0.75,6,92,517.0,548.0,31.0,7.00130500118533,False,True
s8_n400,9,3,0.25,0.75,4,6,437.130041885376,471.130041885376,34.0,2.5810841539548743,False,True
s8_n400,9,3,0.25,0.75,0,247,386.0,401.0,15.0,9.767674064402062,False,True
s8_n400,9,3,0.25,0.75,2,236,446.1770169734955,475.1770169734955,29.0,9.239392466265194,False,True
s8_n400,9,3,0.25,0.75,5,218,487.85037479400637,522.8503747940064,35.0,7.888731496572947,False,True
s8_n400,9,3,0.25,0.75,4,99,479.7400447845459,517.740044784546,38.00000000000006,9.63971181018958,False,True
s8_n400,9,3,0.25,0.75,3,227,312.3212100982666,358.3212100982666,46.0,2.507541491419536,False,True
s8_n400,9,3,0.25,0.75,3,108,361.2741558074951,377.2741558074951,16.0,9.342698634643044,False,True
s8_n400,9,3,0.25,0.75,6,208,555.9865846303408,595.9865846303408,40.0,9.055130491557708,False,True
s8_n400,9,3,0.25,0.75,1,111,293.0544677734375,315.0544677734375,22.0,7.05280171392589,False,True
s8_n400,9,3,0.25,0.75,7,177,378.8982889801264,408.8982889801264,30.0,1.0213706680124655,False,True
s8_n400,9,3,0.25,0.75,5,128,528.9597567558288,569.9597567558288,41.0,8.518343845438459,False,True
s8_n400,9,3,0.25,0.75,3,152,380.04320526123047,420.04320526123047,40.0,4.641040552662293,False,True
s8_n400,9,3,0.25,0.75,4,273,526.5610336303712,564.5610336303712,38.0,1.6362124486958673,False,True
s8_n400,9,3,0.25,0.75,4,265,572.1571868896485,605.1571868896485,33.0,3.333392031644234,False,True
s8_n400,9,3,0.25,0.75,0,151,490.0,510.0,20.0,3.8888162812325224,False,True
s8_n400,9,3,0.25,0.75,7,9,417.4034573227167,437.4034573227167,20.0,6.838369365579364,False,True
s8_n400,9,3,0.25,0.75,0,171,645.0,660.0,15.0,9.925731469678077,False,False
s8_n400,9,3,0.25,0.75,0,14,661.8714277267457,676.8714277267457,15.0,8.935366993671323,False,False
s8_n400,9,3,0.25,0.75,2,206,1341.0,1357.0,16.0,9.142073676938024,False,False
s8_n400,9,3,0.25,0.75,7,110,1150.0,1165.0,15.0,9.620954205335174,False,False
s8_n400,9,3,0.25,0.75,7,16,2733.0,2774.0,41.0,3.5186624445405505,False,True
s8_n400,9,3,0.25,0.75,1,149,1389.0,1406.0,17.0,8.587721086498338,False,False
s8_n400,9,3,0.25,0.75,1,254,2425.0,2465.0,40.0,2.685484860850811,False,True
s8_n400,9,3,0.25,0.75,1,234,3293.0,3308.0,15.0,9.609480543280911,False,False
s8_n400,9,3,0.25,0.75,3,23,1448.0,1471.0,23.0,9.774734476926028,False,False
s8_n400,9,3,0.25,0.75,3,308,2164.0,2179.0,15.0,8.662606363637611,True,False
s8_n400,9,3,0.25,0.75,3,376,2573.0,2588.0,15.0,9.407089550788005,True,False
s8_n400,9,3,0.25,0.75,7,55,3097.0,3119.0,22.0,9.002806335202258,False,False
s8_n400,9,3,0.25,0.75,5,147,2141.0,2158.0,17.0,9.025962909008253,False,False
s8_n400,9,3,0.25,0.75,0,237,885.0,902.0,17.0,7.370381231329392,False,False
s8_n400,9,3,0.25,0.75,0,326,2451.0,2466.0,15.0,8.693522248568346,True,False
s8_n400,9,3,0.25,0.75,0,32,2820.0,2836.0,16.0,7.879202051515812,False,False
s8_n400,9,3,0.25,0.75,7,306,3122.3312215805054,3138.3312215805054,16.0,6.307375877284279,True,False
s8_n400,9,4,0.0,1.0,5,36,81.0,99.0,18.0,2.1450106090126884,False,True
s8_n400,9,4,0.0,1.0,3,256,228.0,286.0,58.0,6.269520568490604,False,True
s8_n400,9,4,0.0,1.0,2,76,162.0,220.0,58.0,5.7551639012094435,False,True
s8_n400,9,4,0.0,1.0,2,239,226.86559467315675,260.86559467315675,34.0,6.46133264175788,False,True
