num_prefs,scale,instance_idx,seed,front_type,point_idx,f1,f2
150,s3_n100,0,20260701,all,58,0.3084660550337359,0.8872033867994895
150,s3_n100,0,20260701,all,59,0.3084660550337359,0.8872033867994895
150,s3_n100,0,20260701,all,60,0.307959768674201,0.8872033867994895
150,s3_n100,0,20260701,all,61,0.307959768674201,0.8872033867994895
150,s3_n100,0,20260701,all,62,0.307959768674201,0.8872033867994895
150,s3_n100,0,20260701,all,63,0.307959768674201,0.8872033867994895
150,s3_n100,0,20260701,all,64,0.307959768674201,0.8872033867994895
150,s3_n100,0,20260701,all,65,0.30795976867420105,0.8872033867994895
150,s3_n100,0,20260701,all,66,0.30795976867420105,0.8872033867994895
150,s3_n100,0,20260701,all,67,0.3109136374618391,0.8872033867994895
150,s3_n100,0,20260701,all,68,0.3109136374618391,0.8872033867994895
150,s3_n100,0,20260701,all,69,0.3109136374618391,0.8872033867994895
150,s3_n100,0,20260701,all,70,0.3109136374618391,0.8872033867994895
150,s3_n100,0,20260701,all,71,0.3109136374618391,0.8872033867994895
150,s3_n100,0,20260701,all,72,0.31091363746183903,0.8872033867994895
150,s3_n100,0,20260701,all,73,0.31091363746183903,0.8872033867994895
150,s3_n100,0,20260701,all,74,0.31091363746183903,0.8872033867994895
150,s3_n100,0,20260701,all,75,0.31091363746183903,0.8872033867994895
150,s3_n100,0,20260701,all,76,0.31091363746183903,0.8872033867994895
150,s3_n100,0,20260701,all,77,0.29881116608998326,0.9043049840414027
150,s3_n100,0,20260701,all,78,0.30137462672500404,0.9043049840414027
150,s3_n100,0,20260701,all,79,0.30137462672500415,0.9043049840414027
150,s3_n100,0,20260701,all,80,0.2845961911472062,0.9043049840414027
150,s3_n100,0,20260701,all,81,0.28459619114720625,0.9043049840414028
150,s3_n100,0,20260701,all,82,0.2845961911472062,0.9043049840414026
150,s3_n100,0,20260701,all,83,0.2845961911472062,0.9043049840414026
150,s3_n100,0,20260701,all,84,0.2845961911472062,0.9043049840414027
150,s3_n100,0,20260701,all,85,0.2845961911472062,0.9043049840414027
150,s3_n100,0,20260701,all,86,0.2845961911472062,0.9043049840414027
150,s3_n100,0,20260701,all,87,0.2958404811070381,0.9043049840414027
150,s3_n100,0,20260701,all,88,0.2958404811070381,0.9043049840414027
150,s3_n100,0,20260701,all,89,0.2958404811070381,0.9043049840414027
150,s3_n100,0,20260701,all,90,0.2958404811070381,0.9043049840414027
150,s3_n100,0,20260701,all,91,0.2958404811070381,0.9043049840414027
150,s3_n100,0,20260701,all,92,0.29335765916541257,0.9043049840414027
150,s3_n100,0,20260701,all,93,0.29335765916541257,0.9043049840414027
150,s3_n100,0,20260701,all,94,0.29335765916541257,0.9043049840414027
150,s3_n100,0,20260701,all,95,0.29335765916541257,0.9043049840414027
150,s3_n100,0,20260701,all,96,0.29149770395687175,0.9043049840414027
150,s3_n100,0,20260701,all,97,0.29149770395687175,0.9043049840414027
150,s3_n100,0,20260701,all,98,0.29149770395687175,0.9043049840414027
150,s3_n100,0,20260701,all,99,0.29149770395687175,0.9043049840414027
150,s3_n100,0,20260701,all,100,0.29149770395687175,0.9043049840414027
150,s3_n100,0,20260701,all,101,0.29149770395687175,0.9043049840414027
